Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure
"Cisco Systems, Inc.",CSCO,Communication Equipment,2025,56654000000.00,19864000000.00,36790000000.00,12504000000.00,15504000000.00,1593000000.00,10180000000.00,8346000000.00,9762000000.00,3164000000.00,34986000000.00,122291000000.00,35064000000.00,75448000000.00,5232000000.00,22861000000.00,28093000000.00,46843000000.00,14193000000.00,1733000000.00,-15815000000.00,-905000000.00
Chevron Corporation,CVX,Oil & Gas Integrated,2023,196913000000.00,136522000000.00,60391000000.00,26229000000.00,47815000000.00,469000000.00,21369000000.00,8178000000.00,19921000000.00,8612000000.00,41128000000.00,261632000000.00,32258000000.00,99703000000.00,469000000.00,19733000000.00,20202000000.00,160957000000.00,35609000000.00,-15232000000.00,-30109000000.00,-15829000000.00
Chevron Corporation,CVX,Oil & Gas Integrated,2024,193414000000.00,136488000000.00,56926000000.00,18917000000.00,45811000000.00,594000000.00,17661000000.00,6781000000.00,20684000000.00,9074000000.00,40911000000.00,256938000000.00,38558000000.00,103781000000.00,4348000000.00,19589000000.00,23937000000.00,152318000000.00,31492000000.00,-8936000000.00,-23472000000.00,-16448000000.00
Chevron Corporation,CVX,Oil & Gas Integrated,2025,184432000000.00,128346000000.00,56086000000.00,16674000000.00,41417000000.00,1217000000.00,12299000000.00,6293000000.00,18075000000.00,9711000000.00,38552000000.00,324012000000.00,33387000000.00,131836000000.00,191000000.00,39122000000.00,39313000000.00,186450000000.00,33939000000.00,-15911000000.00,-19063000000.00,-17347000000.00
Alphabet Inc.,GOOGL,Internet Content & Information,2023,307394000000.00,133332000000.00,174062000000.00,84293000000.00,97971000000.00,308000000.00,73795000000.00,24048000000.00,47964000000.00,0.00,171530000000.00,402392000000.00,81814000000.00,,2791000000.00,11870000000.00,14661000000.00,283379000000.00,101746000000.00,-27063000000.00,-72093000000.00,-32251000000.00
Alphabet Inc.,GOOGL,Internet Content & Information,2024,350018000000.00,146306000000.00,203712000000.00,112390000000.00,135394000000.00,268000000.00,100118000000.00,23466000000.00,52340000000.00,0.00,163711000000.00,450256000000.00,89122000000.00,,2887000000.00,10883000000.00,13770000000.00,325084000000.00,125299000000.00,-45536000000.00,-79733000000.00,-52535000000.00
Alphabet Inc.,GOOGL,Internet Content & Information,2025,402836000000.00,162535000000.00,240301000000.00,129039000000.00,180698000000.00,736000000.00,132170000000.00,30708000000.00,62886000000.00,0.00,206038000000.00,595281000000.00,102745000000.00,,0.00,46547000000.00,46547000000.00,415265000000.00,164713000000.00,-120291000000.00,-37388000000.00,-91447000000.00
"Home Depot, Inc. (The)",HD,Home Improvement Retail,2023,157403000000.00,104625000000.00,52778000000.00,24039000000.00,27069000000.00,1617000000.00,17105000000.00,2757000000.00,3317000000.00,24886000000.00,32471000000.00,76445000000.00,23110000000.00,74883000000.00,1231000000.00,41962000000.00,43193000000.00,1562000000.00,14615000000.00,-3140000000.00,-10993000000.00,-3119000000.00
"Home Depot, Inc. (The)",HD,Home Improvement Retail,2024,152669000000.00,101709000000.00,50960000000.00,21689000000.00,25114000000.00,1943000000.00,15143000000.00,3760000000.00,3328000000.00,20976000000.00,29775000000.00,76530000000.00,22015000000.00,75486000000.00,1368000000.00,42743000000.00,44111000000.00,1044000000.00,21172000000.00,-4729000000.00,-15443000000.00,-3226000000.00
"Home Depot, Inc. (The)",HD,Home Improvement Retail,2025,159514000000.00,106206000000.00,53308000000.00,21526000000.00,25488000000.00,2321000000.00,14806000000.00,1659000000.00,4903000000.00,23451000000.00,31683000000.00,96119000000.00,28661000000.00,89479000000.00,4898000000.00,48485000000.00,53383000000.00,6640000000.00,19810000000.00,-21031000000.00,-694000000.00,-3485000000.00
Johnson & Johnson,JNJ,Drug Manufacturers - General,2023,85159000000.00,26553000000.00,58606000000.00,22009000000.00,23320000000.00,772000000.00,35153000000.00,21859000000.00,19387000000.00,11181000000.00,53495000000.00,167558000000.00,46282000000.00,98784000000.00,3451000000.00,25881000000.00,29332000000.00,68774000000.00,22791000000.00,878000000.00,-15825000000.00,-5013000000.00
Johnson & Johnson,JNJ,Drug Manufacturers - General,2024,88821000000.00,27471000000.00,61350000000.00,21249000000.00,24781000000.00,755000000.00,14066000000.00,24105000000.00,18927000000.00,12444000000.00,55893000000.00,180104000000.00,50321000000.00,108614000000.00,5983000000.00,30651000000.00,36634000000.00,71490000000.00,24266000000.00,-18599000000.00,-3132000000.00,-6207000000.00
Johnson & Johnson,JNJ,Drug Manufacturers - General,2025,94193000000.00,30256000000.00,63937000000.00,25596000000.00,41055000000.00,971000000.00,26804000000.00,19709000000.00,21331000000.00,14191000000.00,55624000000.00,199210000000.00,54126000000.00,117666000000.00,8495000000.00,39438000000.00,47933000000.00,81544000000.00,24530000000.00,-23588000000.00,-5539000000.00,-5217000000.00
JP Morgan Chase & Co.,JPM,Banks - Diversified,2023,154952000000.00,,,,,81321000000.00,49552000000.00,624151000000.00,107363000000.00,0.00,,3875393000000.00,,3547515000000.00,44712000000.00,391825000000.00,436537000000.00,327878000000.00,12974000000.00,67643000000.00,-25571000000.00,
JP Morgan Chase & Co.,JPM,Banks - Diversified,2024,169439000000.00,,,,,101350000000.00,58471000000.00,469317000000.00,101223000000.00,0.00,,4002814000000.00,,3658056000000.00,52893000000.00,401418000000.00,454311000000.00,344758000000.00,-42012000000.00,-163403000000.00,63447000000.00,
JP Morgan Chase & Co.,JPM,Banks - Diversified,2025,181847000000.00,,,,,97898000000.00,57048000000.00,343338000000.00,111599000000.00,0.00,,4424900000000.00,,4062462000000.00,66012000000.00,433970000000.00,499982000000.00,362438000000.00,-147782000000.00,-265565000000.00,269533000000.00,
Coca-Cola Company (The),KO,Beverages - Non-Alcoholic,2023,45754000000.00,18520000000.00,27234000000.00,13098000000.00,15607000000.00,1527000000.00,10714000000.00,9366000000.00,3410000000.00,4424000000.00,26732000000.00,97703000000.00,23571000000.00,70223000000.00,6517000000.00,35547000000.00,42064000000.00,25941000000.00,11599000000.00,-3349000000.00,-8310000000.00,-1852000000.00
Coca-Cola Company (The),KO,Beverages - Non-Alcoholic,2024,47061000000.00,18324000000.00,28737000000.00,14022000000.00,15817000000.00,1656000000.00,10631000000.00,10828000000.00,3569000000.00,4728000000.00,25997000000.00,100549000000.00,25249000000.00,74177000000.00,2147000000.00,42375000000.00,44522000000.00,24856000000.00,6805000000.00,2524000000.00,-6910000000.00,-2064000000.00
Coca-Cola Company (The),KO,Beverages - Non-Alcoholic,2025,47941000000.00,18397000000.00,29544000000.00,14911000000.00,18702000000.00,1654000000.00,13107000000.00,10270000000.00,3038000000.00,4425000000.00,31044000000.00,104816000000.00,21281000000.00,70541000000.00,3373000000.00,42119000000.00,45492000000.00,32169000000.00,7408000000.00,-67000000.00,-8140000000.00,-2112000000.00
