Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure,Distress Status,Distress Event,Distress Event Year
"Clover Health Investments, Corp",CLOV,Healthcare Plans,2023,1260543000.0,1004590000.0,255953000.0,-179563000.0,-207632000.0,7000.0,-213361000.0,116407000.0,86240000.0,0.0,427970000.0,570671000.0,261115000.0,284277000.0,1665000.0,2998000.0,4663000.0,286394000.0,-144662000.0,140013000.0,-5070000.0,-584000.0,1.0,Major Operating Deficits & Restructuring,2023.0
"Clover Health Investments, Corp",CLOV,Healthcare Plans,2024,1371131000.0,1006327000.0,364804000.0,-45461000.0,-44935000.0,0.0,-43009000.0,194543000.0,92792000.0,0.0,343124000.0,580742000.0,213516000.0,239599000.0,0.0,0.0,0.0,341143000.0,34845000.0,565000.0,-17361000.0,-1556000.0,0.0,,
"Clover Health Investments, Corp",CLOV,Healthcare Plans,2025,1924308000.0,1568406000.0,355902000.0,-85529000.0,-83863000.0,0.0,-85549000.0,78301000.0,158741000.0,0.0,307855000.0,541011000.0,208823000.0,232307000.0,0.0,0.0,0.0,308704000.0,-66934000.0,4076000.0,-53384000.0,-2043000.0,0.0,,
Costco Wholesale Corporation,COST,Discount Stores,2023,242290000000.0,212586000000.0,29704000000.0,8114000000.0,10724000000.0,160000000.0,6292000000.0,13700000000.0,2285000000.0,16651000000.0,35879000000.0,68994000000.0,33583000000.0,43936000000.0,1081000000.0,5377000000.0,6458000000.0,25058000000.0,11068000000.0,-4972000000.0,-2614000000.0,-4323000000.0,0.0,,
Costco Wholesale Corporation,COST,Discount Stores,2024,254453000000.0,222358000000.0,32095000000.0,9285000000.0,12146000000.0,169000000.0,7367000000.0,9906000000.0,2721000000.0,18647000000.0,34246000000.0,69831000000.0,35464000000.0,46209000000.0,103000000.0,5794000000.0,5897000000.0,23622000000.0,11339000000.0,-4409000000.0,-10764000000.0,-4710000000.0,0.0,,
Costco Wholesale Corporation,COST,Discount Stores,2025,275235000000.0,239886000000.0,35349000000.0,10383000000.0,13398000000.0,154000000.0,8099000000.0,14161000000.0,3203000000.0,18116000000.0,38380000000.0,77099000000.0,37108000000.0,47935000000.0,0.0,5713000000.0,5713000000.0,29164000000.0,13335000000.0,-5311000000.0,-3775000000.0,-5498000000.0,0.0,,
"Cisco Systems, Inc.",CSCO,Communication Equipment,2023,56998000000.0,21245000000.0,35753000000.0,15562000000.0,17471000000.0,427000000.0,12613000000.0,10123000000.0,9206000000.0,3644000000.0,43348000000.0,101852000000.0,31309000000.0,57499000000.0,1733000000.0,6658000000.0,8391000000.0,44353000000.0,19886000000.0,-5107000000.0,-11626000000.0,-849000000.0,0.0,,
"Cisco Systems, Inc.",CSCO,Communication Equipment,2024,53803000000.0,18975000000.0,34828000000.0,12970000000.0,15747000000.0,1006000000.0,10320000000.0,7508000000.0,10023000000.0,3373000000.0,36862000000.0,124413000000.0,40584000000.0,78956000000.0,11341000000.0,19632000000.0,30973000000.0,45457000000.0,10880000000.0,-20478000000.0,6844000000.0,-670000000.0,0.0,,
"Cisco Systems, Inc.",CSCO,Communication Equipment,2025,56654000000.0,19864000000.0,36790000000.0,12504000000.0,15504000000.0,1593000000.0,10180000000.0,8346000000.0,9762000000.0,3164000000.0,34986000000.0,122291000000.0,35064000000.0,75448000000.0,5232000000.0,22861000000.0,28093000000.0,46843000000.0,14193000000.0,1733000000.0,-15815000000.0,-905000000.0,0.0,,
Carvana Co.,CVNA,Auto & Truck Dealerships,2023,10771000000.0,9047000000.0,1724000000.0,-80000000.0,1159000000.0,632000000.0,450000000.0,530000000.0,266000000.0,1150000000.0,3321000000.0,7071000000.0,1536000000.0,7455000000.0,857000000.0,5416000000.0,6273000000.0,243000000.0,803000000.0,31000000.0,-868000000.0,-87000000.0,1.0,Out-of-Court Distressed Debt Exchange,2023.0
Carvana Co.,CVNA,Auto & Truck Dealerships,2024,13673000000.0,10797000000.0,2876000000.0,990000000.0,1356000000.0,651000000.0,210000000.0,1716000000.0,307000000.0,1608000000.0,4869000000.0,8484000000.0,1338000000.0,7109000000.0,376000000.0,5256000000.0,5632000000.0,1260000000.0,918000000.0,-13000000.0,261000000.0,-91000000.0,0.0,,
Carvana Co.,CVNA,Auto & Truck Dealerships,2025,20322000000.0,16130000000.0,4192000000.0,1881000000.0,-110000000.0,505000000.0,1407000000.0,2327000000.0,250000000.0,2408000000.0,6549000000.0,13201000000.0,1519000000.0,8998000000.0,285000000.0,4830000000.0,5115000000.0,3441000000.0,1036000000.0,-230000000.0,-137000000.0,-147000000.0,0.0,,
Chevron Corporation,CVX,Oil & Gas Integrated,2023,196913000000.0,136522000000.0,60391000000.0,26229000000.0,47815000000.0,469000000.0,21369000000.0,8178000000.0,19921000000.0,8612000000.0,41128000000.0,261632000000.0,32258000000.0,99703000000.0,469000000.0,19733000000.0,20202000000.0,160957000000.0,35609000000.0,-15232000000.0,-30109000000.0,-15829000000.0,0.0,,
Chevron Corporation,CVX,Oil & Gas Integrated,2024,193414000000.0,136488000000.0,56926000000.0,18917000000.0,45811000000.0,594000000.0,17661000000.0,6781000000.0,20684000000.0,9074000000.0,40911000000.0,256938000000.0,38558000000.0,103781000000.0,4348000000.0,19589000000.0,23937000000.0,152318000000.0,31492000000.0,-8936000000.0,-23472000000.0,-16448000000.0,0.0,,
Chevron Corporation,CVX,Oil & Gas Integrated,2025,184432000000.0,128346000000.0,56086000000.0,16674000000.0,41417000000.0,1217000000.0,12299000000.0,6293000000.0,18075000000.0,9711000000.0,38552000000.0,324012000000.0,33387000000.0,131836000000.0,191000000.0,39122000000.0,39313000000.0,186450000000.0,33939000000.0,-15911000000.0,-19063000000.0,-17347000000.0,0.0,,
fuboTV Inc.,FUBO,Broadcasting,2023,1368225000.0,1282077000.0,86148000.0,-289350000.0,-238073000.0,16286000.0,-287454000.0,245278000.0,80299000.0,0.0,386754000.0,1232640000.0,517345000.0,948815000.0,7935000.0,391748000.0,399683000.0,295576000.0,-177622000.0,-25417000.0,111233000.0,-21945000.0,1.0,Going Concern Warning / Legal Liquidity Injunction,2023.0
fuboTV Inc.,FUBO,Broadcasting,2024,1622796000.0,1418885000.0,203911000.0,-192208000.0,-113731000.0,20852000.0,-172254000.0,161435000.0,71078000.0,0.0,274033000.0,1077428000.0,515322000.0,896646000.0,8066000.0,332383000.0,340449000.0,196370000.0,-79478000.0,-15835000.0,11465000.0,-15835000.0,0.0,,
GameStop Corporation,GME,Specialty Retail,2023,5927200000.0,4555100000.0,1372100000.0,-308900000.0,-247200000.0,,-313100000.0,1139000000.0,153900000.0,682900000.0,2323700000.0,3113400000.0,1339100000.0,1791100000.0,10800000.0,28700000.0,39500000.0,1322300000.0,108200000.0,-222700000.0,-7900000.0,-55900000.0,,,
